1355,咨询,深圳市交通运输委员会,2017.03.23,2017.04.07,"我在限牌后买的二手小车现想卖掉后换另一辆二手车，车是否能上到深圳车牌
		","市民您好，您反映的问题已转道交中心小汽车调控组进行处理，现答复如下：按照《深圳市小汽车增量调控管理实施细则
》第三十条规定? 单位或个人需要更新小汽车的，应当自完成转移登记、注销登记或者迁出本市之日起6个月内提出更新指标申请。逾期未提出的，视为放弃更新指标申请资格。更新指标可以直接取得。申请更新指标的个人，应当符合本实施细则第十三条第一款第（一）项规定的居住地在本市的条件。个人名下有2辆以上小汽车的，只有1辆可以取得更新指标。建议如果您是粤B的车，先到车管部门了解一下你的车辆信息状态，符合条件是可以产生更新指标。感谢您对交通事业的关心与支持！
"
1603,龙华交通局,深圳市交通运输委员会,2017.03.21,2017.03.31,"究竟龙华交通局为何在去年10月10日将简上村公交总站及民治民塘路总站始发线路搬迁到龙华和平工业园始发，请告知一下准确答案。
		","市民您好，您反映的问题已转到龙华交通运输局进行处理，现答复如下：因简上村公交场站场地有限，停车位少，部分车辆停放在场站路边，存在较大安全隐患。后期线路运营企业巴士集团于龙华和平工业园租赁13000㎡土地作为车辆停放使用，故2016年10月10日将M222线由简上村场站迁移至龙华和平工业园总站始发。感谢信访人对龙华区建设提出宝贵意见。感谢您对交通事业的关心与支持！
"
1650,"有关网约车变更登记为“预约出租客运”后,是否可再变更为",深圳市交通运输委员会,2017.03.28,2017.03.31,"请问私家车在申请变更登记为预约出租客运申请到《网络预约出租汽车运输证》后,在中途不想再从事网络车服务,车辆的性质可以从“预约出租客运”再变更为""非营运""吗?意思是可以再变回私家车吗?车辆年限和公里数有没有限制?
		","市民您好，您反映的问题已转到市公共交通管理局进行处理，现答复如下：营运车不可转为非营运车。感谢您对行业的监督与支持。
"
1661,B744调整吗？,深圳市交通运输委员会,2017.03.29,2017.03.31,"B744/B743/979线，上述三条线路近期有调整计划吗？
		","市民您好，您反映的问题已转深圳市东部公共交通有限公司进行处理，现答复如下：市民通过政府在线网络咨询B744线中小巴、B743线中小巴及979线中小巴近期是否计划调整线路的问题。车队目前未接到以上线路调整的计划等。感谢您对交通事业的关心与支持！
"
1670,西部公汽,深圳市交通运输委员会,2017.03.13,2017.03.30,"究竟西部公汽何时计划在下石家车队及凯旋车队还有宝民车队线路二端场建设充电桩并且落地使用比亚迪纯电动大巴，请告知一下准确答案。
		","市民您好，您反映的问题已转深圳市西部公共汽车有限公司进行处理，现答复如下：我公司于2016年底完成了3755台纯电动车辆的采购招标程序，车辆陆续投放中，计划2017年底完成公交纯电动化。感谢您对交通事业的关心与支持。
"
1726,公交处,深圳市交通运输委员会,2017.03.19,2017.03.30,"究竟市交委今后新开线路在试运营阶段能否让每位市民免费乘坐公交车，请告知一下准确答案。
		","市民您好，您反映的问题已转到市公共交通管理局进行处理，现答复如下：你好，感谢你为我市公交行业工作提出真挚的建议。按《深圳市人民政府关于优惠乘坐市内公交车和轨道交通的通告》，新开线路试营运期间车辆不在免费乘车的范围内。感谢市民对我市公交事业的理解和支持。
"
1855,龙华交通局,深圳市交通运输委员会,2017.03.11,2017.03.27,"究竟龙华交通局及西部公汽近期是否有计划开通龙悦居公交总站始发线路，请告知一下准确答案。
		","市民您好，您反映的问题已转到龙华交通运输局进行处理，现答复如下：目前龙悦居公交场站始发线路有60、75、M504、高快巴士16号等4条线路，以上4条线路总运力达65台；途径并停靠龙悦居的线路有81、316、M365、M385、M459、K384、E3、E11、E11区间线、B653、B877、高峰专线38号等12条线路，以上12条线路总运力达250台。目前我局暂无开通由龙悦居公交总站始发线路的计划。感谢您对公交事业的监督与支持！
"
1861,外省道路运输从业资格证在深圳能否使用,深圳市交通运输委员会,2017.03.23,2017.03.27,"拿外省道路运输从业资格证在深圳从事货运工作，证能否使用和有效？
		","市民您好，您反映的问题已转市港航和货运交通管理局进行处理，并与您进行了沟通和解释。感谢您对交通事业的关心与支持。
"
1867,关于新办小型货车道路运输证,深圳市交通运输委员会,2017.03.21,2017.03.27,"请问现在新办小型货车普通货运运输证要先过汽车综合检测线吗？之前我们办理小型货车都是没有过线的，请问这是从什么时候开始的？
		","市民您好，您反映的问题已转市港航和货运交通管理局进行处理，现答复如下：根据交通部实施的《道路运输车辆技术管理规定》，普通货运车辆自首次经国家机动车辆注册登记主管部门登记注册的，每12个月进行1次检测和评定。感谢您对交通事业的关心与支持。
"
1868,坂田吉华路修路咨询,深圳市交通运输委员会,2017.03.08,2017.03.27,"吉华路是连接布吉、坂田、民治和龙华等片区的重要交通干道。据了解有关部门从2007年开始对吉华路进行升级改造,2011年施工队正式进驻吉华路施工。几年过去了好不容易刚铺好路面,前几个月开始又封路修地铁.奈何至今修了6年多路段还是如此糟糕?请问计划还要修多久能完成,还坂田人民一片安宁,还我们纳税人一份安心?
		","市民您好，您反映的问题已转深圳市地铁集团有限公司进行处理，现答复如下：地铁路线的规划是市轨道办联合市规土委等政府部门经过大量调研后确定的。您的建议我们将上报给相关政府部门。感谢您对交通事业的关心与支持。
"
